hidden_size,activation,optimizer,batch_size,regularization,epochs,learning_rate,loss,best_f1
4,relu,adam,4,0.001,10,0.01,mse,83.87096774193549
4,relu,adam,4,0.001,10,0.01,hinge,0.0
4,relu,adam,4,0.001,10,0.01,log,
4,relu,adam,4,0.001,10,0.01,focal,
4,relu,adam,4,0.001,10,0.1,mse,78.57142857142857
4,relu,adam,4,0.001,10,0.1,hinge,0.0
4,relu,adam,4,0.001,10,0.1,log,
4,relu,adam,4,0.001,10,0.1,focal,
4,relu,adam,4,0.001,20,0.001,mse,86.66666666666667
4,relu,adam,4,0.001,20,0.001,hinge,88.88888888888889
4,relu,adam,4,0.001,20,0.001,log,
4,relu,adam,4,0.001,20,0.001,focal,
4,relu,adam,4,0.001,20,0.01,mse,85.71428571428571
4,relu,adam,4,0.001,20,0.01,hinge,0.0
4,relu,adam,4,0.001,20,0.01,log,
4,relu,adam,4,0.001,20,0.01,focal,
4,relu,adam,4,0.001,20,0.1,mse,75.86206896551724
4,relu,adam,4,0.001,20,0.1,hinge,0.0
4,relu,adam,4,0.001,20,0.1,log,
4,relu,adam,4,0.001,20,0.1,focal,
4,relu,adam,4,0.001,30,0.001,mse,85.71428571428571
4,relu,adam,4,0.001,30,0.001,hinge,23.52941176470588
4,relu,adam,4,0.001,30,0.001,log,
4,relu,adam,4,0.001,30,0.001,focal,
4,relu,adam,4,0.001,30,0.01,mse,89.65517241379311
4,relu,adam,4,0.001,30,0.01,hinge,0.0
4,relu,adam,4,0.001,30,0.01,log,
4,relu,adam,4,0.001,30,0.01,focal,
4,relu,adam,4,0.001,30,0.1,mse,88.88888888888889
4,relu,adam,4,0.001,30,0.1,hinge,0.0
4,relu,adam,4,0.001,30,0.1,log,
4,relu,adam,4,0.001,30,0.1,focal,
4,relu,adam,4,0.001,50,0.001,mse,89.65517241379311
4,relu,adam,4,0.001,50,0.001,hinge,72.72727272727273
4,relu,adam,4,0.001,50,0.001,log,
4,relu,adam,4,0.001,50,0.001,focal,
4,relu,adam,4,0.001,50,0.01,mse,85.71428571428571
4,relu,adam,4,0.001,50,0.01,hinge,0.0
4,relu,adam,4,0.001,50,0.01,log,
4,relu,adam,4,0.001,50,0.01,focal,
4,relu,adam,4,0.001,50,0.1,mse,72.22222222222221
4,relu,adam,4,0.001,50,0.1,hinge,0.0
4,relu,adam,4,0.001,50,0.1,log,
4,relu,adam,4,0.001,50,0.1,focal,
4,relu,adam,4,0.001,80,0.001,mse,86.66666666666667
4,relu,adam,4,0.001,80,0.001,hinge,44.44444444444444
4,relu,adam,4,0.001,80,0.001,log,
4,relu,adam,4,0.001,80,0.001,focal,
4,relu,adam,4,0.001,80,0.01,mse,84.61538461538461
4,relu,adam,4,0.001,80,0.01,hinge,0.0
4,relu,adam,4,0.001,80,0.01,log,
4,relu,adam,4,0.001,80,0.01,focal,
4,relu,adam,4,0.001,80,0.1,mse,72.22222222222221
4,relu,adam,4,0.001,80,0.1,hinge,0.0
4,relu,adam,4,0.001,80,0.1,log,
4,relu,adam,4,0.001,80,0.1,focal,
4,relu,adam,4,0.001,100,0.001,mse,83.87096774193549
4,relu,adam,4,0.001,100,0.001,hinge,0.0
4,relu,adam,4,0.001,100,0.001,log,
4,relu,adam,4,0.001,100,0.001,focal,
4,relu,adam,4,0.001,100,0.01,mse,83.33333333333334
4,relu,adam,4,0.001,100,0.01,hinge,0.0
4,relu,adam,4,0.001,100,0.01,log,
4,relu,adam,4,0.001,100,0.01,focal,
4,relu,adam,4,0.001,100,0.1,mse,72.22222222222221
4,relu,adam,4,0.001,100,0.1,hinge,0.0
4,relu,adam,4,0.001,100,0.1,log,
4,relu,adam,4,0.001,100,0.1,focal,
4,relu,adam,4,0.01,5,0.001,mse,75.0
4,relu,adam,4,0.01,5,0.001,hinge,0.0
4,relu,adam,4,0.01,5,0.001,log,
4,relu,adam,4,0.01,5,0.001,focal,
4,relu,adam,4,0.01,5,0.01,mse,80.0
4,relu,adam,4,0.01,5,0.01,hinge,0.0
4,relu,adam,4,0.01,5,0.01,log,
4,relu,adam,4,0.01,5,0.01,focal,
4,relu,adam,4,0.01,5,0.1,mse,72.22222222222221
4,relu,adam,4,0.01,5,0.1,hinge,0.0
4,relu,adam,4,0.01,5,0.1,log,
4,relu,adam,4,0.01,5,0.1,focal,
4,relu,adam,4,0.01,10,0.001,mse,78.78787878787878
4,relu,adam,4,0.01,10,0.001,hinge,0.0
4,relu,adam,4,0.01,10,0.001,log,
4,relu,adam,4,0.01,10,0.001,focal,
4,relu,adam,4,0.01,10,0.01,mse,83.87096774193549
4,relu,adam,4,0.01,10,0.01,hinge,0.0
4,relu,adam,4,0.01,10,0.01,log,
4,relu,adam,4,0.01,10,0.01,focal,
4,relu,adam,4,0.01,10,0.1,mse,72.22222222222221
4,relu,adam,4,0.01,10,0.1,hinge,0.0
4,relu,adam,4,0.01,10,0.1,log,
4,relu,adam,4,0.01,10,0.1,focal,
4,relu,adam,4,0.01,20,0.001,mse,70.96774193548387
4,relu,adam,4,0.01,20,0.001,hinge,58.333333333333336
4,relu,adam,4,0.01,20,0.001,log,
4,relu,adam,4,0.01,20,0.001,focal,
4,relu,adam,4,0.01,20,0.01,mse,89.65517241379311
4,relu,adam,4,0.01,20,0.01,hinge,0.0
4,relu,adam,4,0.01,20,0.01,log,
4,relu,adam,4,0.01,20,0.01,focal,
4,relu,adam,4,0.01,20,0.1,mse,81.48148148148148
4,relu,adam,4,0.01,20,0.1,hinge,0.0
4,relu,adam,4,0.01,20,0.1,log,
4,relu,adam,4,0.01,20,0.1,focal,
4,relu,adam,4,0.01,30,0.001,mse,92.85714285714286
4,relu,adam,4,0.01,30,0.001,hinge,23.52941176470588
4,relu,adam,4,0.01,30,0.001,log,
4,relu,adam,4,0.01,30,0.001,focal,
4,relu,adam,4,0.01,30,0.01,mse,84.61538461538461
4,relu,adam,4,0.01,30,0.01,hinge,0.0
4,relu,adam,4,0.01,30,0.01,log,
4,relu,adam,4,0.01,30,0.01,focal,
4,relu,adam,4,0.01,30,0.1,mse,74.28571428571429
4,relu,adam,4,0.01,30,0.1,hinge,0.0
4,relu,adam,4,0.01,30,0.1,log,
4,relu,adam,4,0.01,30,0.1,focal,
4,relu,adam,4,0.01,50,0.001,mse,89.65517241379311
4,relu,adam,4,0.01,50,0.001,hinge,0.0
4,relu,adam,4,0.01,50,0.001,log,
4,relu,adam,4,0.01,50,0.001,focal,
4,relu,adam,4,0.01,50,0.01,mse,86.66666666666667
4,relu,adam,4,0.01,50,0.01,hinge,0.0
4,relu,adam,4,0.01,50,0.01,log,
4,relu,adam,4,0.01,50,0.01,focal,
4,relu,adam,4,0.01,50,0.1,mse,84.61538461538461
4,relu,adam,4,0.01,50,0.1,hinge,0.0
4,relu,adam,4,0.01,50,0.1,log,
4,relu,adam,4,0.01,50,0.1,focal,
4,relu,adam,4,0.01,80,0.001,mse,83.87096774193549
4,relu,adam,4,0.01,80,0.001,hinge,72.22222222222221
4,relu,adam,4,0.01,80,0.001,log,
4,relu,adam,4,0.01,80,0.001,focal,
4,relu,adam,4,0.01,80,0.01,mse,96.29629629629629
4,relu,adam,4,0.01,80,0.01,hinge,0.0
4,relu,adam,4,0.01,80,0.01,log,
4,relu,adam,4,0.01,80,0.01,focal,
4,relu,adam,4,0.01,80,0.1,mse,72.22222222222221
4,relu,adam,4,0.01,80,0.1,hinge,0.0
4,relu,adam,4,0.01,80,0.1,log,
4,relu,adam,4,0.01,80,0.1,focal,
4,relu,adam,4,0.01,100,0.001,mse,86.66666666666667
4,relu,adam,4,0.01,100,0.001,hinge,50.0
4,relu,adam,4,0.01,100,0.001,log,
4,relu,adam,4,0.01,100,0.001,focal,
4,relu,adam,4,0.01,100,0.01,mse,92.3076923076923
4,relu,adam,4,0.01,100,0.01,hinge,77.41935483870968
4,relu,adam,4,0.01,100,0.01,log,
4,relu,adam,4,0.01,100,0.01,focal,
